Segment,Fold,Calibration,Class,ECE,MCE,ACE,MCS,Directionality
02_PB1,8,Cal,Non-human Mammal,0.0009,0.4173,0.0019,0.0008,BALANCED
02_PB1,9,Orig,Human,0.1347,0.531,0.1321,-0.1248,UNDERCONF
02_PB1,9,Orig,Avian,0.026,0.2913,0.0248,0.0139,BALANCED
02_PB1,9,Orig,Non-human Mammal,0.1149,0.4673,0.1109,0.1109,OVERCONF
02_PB1,9,Cal,Human,0.0014,0.2819,0.0011,-0.0011,BALANCED
02_PB1,9,Cal,Avian,0.0012,0.6616,0.001,0.0009,BALANCED
02_PB1,9,Cal,Non-human Mammal,0.0003,0.5561,0.0013,0.0002,BALANCED
03_PA,0,Orig,Human,0.0647,0.4532,0.0634,-0.0589,UNDERCONF
03_PA,0,Orig,Avian,0.0192,0.4475,0.0149,0.0122,BALANCED
03_PA,0,Orig,Non-human Mammal,0.0529,0.2999,0.0467,0.0467,OVERCONF
03_PA,0,Cal,Human,0.0016,0.2102,0.0011,-0.0011,BALANCED
03_PA,0,Cal,Avian,0.0012,0.6729,0.0013,0.0012,BALANCED
03_PA,0,Cal,Non-human Mammal,0.0007,0.1758,0.0008,-0.0001,BALANCED
03_PA,1,Orig,Human,0.126,0.5357,0.1249,-0.1187,UNDERCONF
03_PA,1,Orig,Avian,0.0242,0.4828,0.0198,0.0139,BALANCED
03_PA,1,Orig,Non-human Mammal,0.11,0.3908,0.1048,0.1048,OVERCONF
03_PA,1,Cal,Human,0.0022,0.3475,0.0014,-0.0014,BALANCED
03_PA,1,Cal,Avian,0.0015,0.5477,0.0015,0.0014,BALANCED
03_PA,1,Cal,Non-human Mammal,0.0006,0.2895,0.0016,-0.0,BALANCED
03_PA,2,Orig,Human,0.1219,0.5939,0.1206,-0.1179,UNDERCONF
03_PA,2,Orig,Avian,0.0225,0.4592,0.0177,0.017,BALANCED
03_PA,2,Orig,Non-human Mammal,0.104,0.4237,0.1009,0.1009,OVERCONF
03_PA,2,Cal,Human,0.0023,0.2467,0.0016,-0.0016,BALANCED
03_PA,2,Cal,Avian,0.0018,0.6867,0.0019,0.0018,BALANCED
03_PA,2,Cal,Non-human Mammal,0.0007,0.2405,0.0018,-0.0002,BALANCED
03_PA,3,Orig,Human,0.1789,0.6131,0.1785,-0.171,UNDERCONF
03_PA,3,Orig,Avian,0.0563,0.5148,0.0501,0.0436,OVERCONF
03_PA,3,Orig,Non-human Mammal,0.1318,0.4256,0.1274,0.1274,OVERCONF
03_PA,3,Cal,Human,0.0022,0.4218,0.0015,-0.0012,BALANCED
03_PA,3,Cal,Avian,0.0012,0.83,0.0012,0.0011,BALANCED
03_PA,3,Cal,Non-human Mammal,0.0012,0.422,0.0008,0.0001,BALANCED
03_PA,4,Orig,Human,0.1708,0.6256,0.1705,-0.1657,UNDERCONF
03_PA,4,Orig,Avian,0.0259,0.5337,0.0193,0.0182,BALANCED
03_PA,4,Orig,Non-human Mammal,0.1512,0.4155,0.1475,0.1475,OVERCONF
03_PA,4,Cal,Human,0.0025,0.2933,0.0012,-0.001,BALANCED
03_PA,4,Cal,Avian,0.0013,0.5499,0.0013,0.0012,BALANCED
03_PA,4,Cal,Non-human Mammal,0.0016,0.3925,0.0014,-0.0002,BALANCED
03_PA,5,Orig,Human,0.1462,0.5937,0.1456,-0.1415,UNDERCONF
03_PA,5,Orig,Avian,0.0345,0.5674,0.0287,0.0256,OVERCONF
03_PA,5,Orig,Non-human Mammal,0.1194,0.4509,0.1159,0.1159,OVERCONF
03_PA,5,Cal,Human,0.0022,0.3642,0.0015,-0.0013,BALANCED
03_PA,5,Cal,Avian,0.0016,0.8837,0.0016,0.0015,BALANCED
03_PA,5,Cal,Non-human Mammal,0.0005,0.6257,0.0016,-0.0001,BALANCED
03_PA,6,Orig,Human,0.1085,0.554,0.107,-0.1034,UNDERCONF
03_PA,6,Orig,Avian,0.0222,0.4635,0.018,0.0154,BALANCED
03_PA,6,Orig,Non-human Mammal,0.0919,0.41,0.088,0.088,OVERCONF
03_PA,6,Cal,Human,0.002,0.2225,0.0017,-0.0015,BALANCED
03_PA,6,Cal,Avian,0.0012,0.3102,0.0013,0.0012,BALANCED
03_PA,6,Cal,Non-human Mammal,0.0011,0.2098,0.0012,0.0003,BALANCED
03_PA,7,Orig,Human,0.1143,0.5904,0.1135,-0.1095,UNDERCONF
03_PA,7,Orig,Avian,0.0157,0.4556,0.0104,0.0104,BALANCED
03_PA,7,Orig,Non-human Mammal,0.1022,0.4382,0.099,0.099,OVERCONF
03_PA,7,Cal,Human,0.0022,0.1202,0.0017,-0.0017,BALANCED
03_PA,7,Cal,Avian,0.0019,0.6917,0.0019,0.0018,BALANCED
03_PA,7,Cal,Non-human Mammal,0.0005,0.1469,0.0018,-0.0001,BALANCED
03_PA,8,Orig,Human,0.121,0.62,0.1211,-0.1161,UNDERCONF
03_PA,8,Orig,Avian,0.015,0.5155,0.0117,0.0047,BALANCED
03_PA,8,Orig,Non-human Mammal,0.1127,0.5596,0.1115,0.1115,OVERCONF
03_PA,8,Cal,Human,0.0023,0.4992,0.0014,-0.0012,BALANCED
03_PA,8,Cal,Avian,0.0012,0.3941,0.001,0.0009,BALANCED
03_PA,8,Cal,Non-human Mammal,0.0005,0.1604,0.0012,0.0004,BALANCED
03_PA,9,Orig,Human,0.156,0.6095,0.1551,-0.1506,UNDERCONF
03_PA,9,Orig,Avian,0.03,0.6092,0.0238,0.0203,OVERCONF
03_PA,9,Orig,Non-human Mammal,0.1337,0.4134,0.1303,0.1303,OVERCONF
03_PA,9,Cal,Human,0.0033,0.4163,0.0016,-0.0014,BALANCED
03_PA,9,Cal,Avian,0.0016,0.5903,0.0016,0.0015,BALANCED
03_PA,9,Cal,Non-human Mammal,0.0016,0.4271,0.0012,-0.0,BALANCED
04_HA,0,Orig,Human,0.2308,0.4625,0.2275,-0.2172,UNDERCONF
04_HA,0,Orig,Avian,0.0288,0.3697,0.0244,0.0081,BALANCED
04_HA,0,Orig,Non-human Mammal,0.2173,0.3811,0.2092,0.2092,OVERCONF
04_HA,0,Cal,Human,0.0012,0.2484,0.0013,-0.0009,BALANCED
04_HA,0,Cal,Avian,0.001,0.525,0.001,0.0009,BALANCED
04_HA,0,Cal,Non-human Mammal,0.0004,0.2245,0.0006,-0.0,BALANCED
04_HA,1,Orig,Human,0.2282,0.6118,0.2254,-0.2181,UNDERCONF
04_HA,1,Orig,Avian,0.0312,0.2839,0.0255,0.0177,BALANCED
04_HA,1,Orig,Non-human Mammal,0.2083,0.533,0.2004,0.2004,OVERCONF
04_HA,1,Cal,Human,0.0014,0.2633,0.0012,-0.0011,BALANCED
04_HA,1,Cal,Avian,0.001,0.7342,0.001,0.001,BALANCED
04_HA,1,Cal,Non-human Mammal,0.0004,0.2988,0.0005,0.0001,BALANCED
04_HA,2,Orig,Human,0.1931,0.5225,0.1897,-0.1827,UNDERCONF
04_HA,2,Orig,Avian,0.0193,0.496,0.0149,0.0022,BALANCED
04_HA,2,Orig,Non-human Mammal,0.1864,0.4334,0.1805,0.1805,OVERCONF
04_HA,2,Cal,Human,0.0011,0.1373,0.0012,-0.0008,BALANCED
04_HA,2,Cal,Avian,0.0009,0.8381,0.001,0.0009,BALANCED
04_HA,2,Cal,Non-human Mammal,0.0002,0.1471,0.0007,-0.0001,BALANCED
04_HA,3,Orig,Human,0.2384,0.6802,0.2372,-0.2338,UNDERCONF
