Segment,Subtype,Host_Group,n_samples,maz_lower_q75,maz_upper_q95,median_distance,mean_distance,sd_distance
06_NA,H5N6,Non-human Mammal,19,0.293,0.3286,0.2728,0.2802,0.0312
06_NA,H5Nx (North America),Human,45,0.3079,0.3315,0.2858,0.2929,0.026
06_NA,H5Nx (North America),Non-human Mammal,1570,0.2944,0.3099,0.2881,0.2891,0.013
07_M,H1N1,Human,33285,1.1745,1.2415,1.0825,1.0684,0.1407
07_M,H1N1,Non-human Mammal,4237,1.011,1.1876,0.8769,0.8763,0.1933
07_M,H3N2,Human,39614,0.8779,0.9807,0.8371,0.833,0.0948
07_M,H3N2,Non-human Mammal,2789,0.973,1.1343,0.8541,0.8453,0.1858
07_M,H2N2,Human,111,0.8516,0.9327,0.7834,0.7664,0.1181
07_M,H1N2,Human,70,0.9066,1.0428,0.8041,0.8203,0.1309
07_M,H1N2,Non-human Mammal,3371,0.9927,1.1704,0.8715,0.8707,0.1824
07_M,H3N8,Human,5,0.1746,0.2378,0.1687,0.1854,0.0384
07_M,H3N8,Non-human Mammal,309,0.8236,0.9603,0.73,0.7217,0.1478
07_M,H7N7,Human,4,0.3365,0.5513,0.2388,0.3197,0.1914
07_M,H7N7,Non-human Mammal,13,0.7511,0.8534,0.653,0.66,0.1181
07_M,H7N9,Human,591,0.3506,0.5124,0.3022,0.319,0.1038
07_M,H7N9,Non-human Mammal,3,0.3473,0.3718,0.3167,0.3085,0.0739
07_M,H9N2,Human,69,0.3576,0.5821,0.3031,0.3158,0.1407
07_M,H9N2,Non-human Mammal,55,0.444,0.7607,0.3637,0.3988,0.1641
07_M,H5N1,Human,408,0.3297,0.5642,0.2536,0.2851,0.1467
07_M,H5N1,Non-human Mammal,90,0.2683,0.3703,0.1915,0.2248,0.1266
07_M,H5N6,Human,37,0.3021,0.4872,0.2513,0.2588,0.1036
07_M,H5N6,Non-human Mammal,19,0.2631,0.3155,0.1857,0.2064,0.0653
07_M,H5Nx (North America),Human,20,0.1726,0.3804,0.1589,0.1872,0.0738
07_M,H5Nx (North America),Non-human Mammal,800,0.2025,0.2891,0.1873,0.1952,0.056
08_NS,H1N1,Human,32078,1.1506,1.1803,1.1281,1.1066,0.0778
08_NS,H1N1,Non-human Mammal,3679,1.0493,1.1825,0.9318,0.9419,0.146
08_NS,H3N2,Human,36709,1.1683,1.2545,1.1204,1.1074,0.0956
08_NS,H3N2,Non-human Mammal,2394,1.0223,1.152,0.9091,0.9246,0.1382
08_NS,H2N2,Human,120,0.9987,1.1075,0.9149,0.9232,0.0991
08_NS,H1N2,Human,66,1.0534,1.1571,0.9716,0.9627,0.1282
08_NS,H1N2,Non-human Mammal,2721,1.052,1.1714,0.9396,0.9501,0.1393
08_NS,H3N8,Human,4,0.2512,0.2693,0.2187,0.2142,0.0565
08_NS,H3N8,Non-human Mammal,316,0.9008,1.078,0.815,0.8254,0.1377
08_NS,H7N7,Human,5,0.3357,0.3687,0.3221,0.2979,0.0785
08_NS,H7N7,Non-human Mammal,18,0.7893,0.8397,0.6944,0.6977,0.1014
08_NS,H7N9,Human,686,0.3655,0.5114,0.304,0.3205,0.0947
08_NS,H7N9,Non-human Mammal,3,0.2962,0.3235,0.262,0.2597,0.0719
08_NS,H9N2,Human,70,0.4049,0.5036,0.3311,0.3461,0.1046
08_NS,H9N2,Non-human Mammal,57,0.5961,0.824,0.4507,0.4859,0.1909
08_NS,H5N1,Human,378,0.4898,0.6298,0.4001,0.4085,0.1344
08_NS,H5N1,Non-human Mammal,93,0.3832,0.4995,0.3014,0.3073,0.1426
08_NS,H5N6,Human,41,0.3896,0.5193,0.3128,0.3509,0.1355
08_NS,H5N6,Non-human Mammal,19,0.4063,0.4803,0.3386,0.3585,0.069
08_NS,H5Nx (North America),Human,31,0.2077,0.2503,0.2014,0.1917,0.0364
08_NS,H5Nx (North America),Non-human Mammal,954,0.2713,0.2919,0.2618,0.2525,0.0381
