Segment,Subtype,Host_Group,n_samples,maz_lower_q75,maz_upper_q95,median_distance,mean_distance,sd_distance
08_NS,H3N2,Non-human Mammal,2394,0.8116,1.0625,0.7001,0.7362,0.1675
08_NS,H2N2,Human,120,1.023,1.1503,0.9484,0.9377,0.1233
08_NS,H1N2,Human,66,1.4007,1.5796,0.9877,1.0803,0.3222
08_NS,H1N2,Non-human Mammal,2721,0.8271,0.9798,0.7229,0.7397,0.1334
08_NS,H3N8,Human,4,1.4758,1.481,1.4495,1.4448,0.04
08_NS,H3N8,Non-human Mammal,316,0.9774,1.1836,0.8477,0.89,0.1604
08_NS,H7N7,Human,5,1.4862,1.6374,1.4439,1.4651,0.1305
08_NS,H7N7,Non-human Mammal,18,1.098,1.2817,1.0563,1.0464,0.1273
08_NS,H7N9,Human,686,1.417,1.5151,1.3044,1.2983,0.159
08_NS,H7N9,Non-human Mammal,3,1.6132,1.6189,1.606,1.61,0.0091
08_NS,H9N2,Human,70,1.5254,1.5954,1.4392,1.3888,0.1831
08_NS,H9N2,Non-human Mammal,57,1.4773,1.6593,1.2897,1.3145,0.2277
08_NS,H5N1,Human,378,1.5417,1.744,1.3916,1.3896,0.2064
08_NS,H5N1,Non-human Mammal,93,1.6298,1.7494,1.5058,1.5167,0.1422
08_NS,H5N6,Human,41,1.5835,1.676,1.5103,1.4835,0.1638
08_NS,H5N6,Non-human Mammal,19,1.5476,1.6139,1.4849,1.4627,0.1213
08_NS,H5Nx (North America),Human,31,1.7042,1.7138,1.684,1.6665,0.0443
08_NS,H5Nx (North America),Non-human Mammal,954,1.619,1.6583,1.5992,1.5918,0.0534
